Ansvar;Måned;År;Regnskap
011010 Bispehaugen skole;01;2022;2131580.47
011040 Lade skole;01;2022;5531777.21
011050 Lilleby skole;01;2022;1890624.99
011060 Rosenborg skole;01;2022;4741635.75
011070 Singsaker skole;01;2022;2545542
011090 Strindheim skole;01;2022;5121732.91
021010 Berg skole;01;2022;1864193.46
021020 Blussuvoll skole;01;2022;3709623.66
021030 Brundalen skole;01;2022;3150566.16
021040 Charlottenlund barneskole;01;2022;3876119.66
021050 Charlottenlund ungdomsskole;01;2022;4004482.59
021060 Eberg skole;01;2022;2439942.29
021070 Ranheim skole;01;2022;3607877.3
021080 Solbakken skole;01;2022;1076313.06
021090 Vikåsen skole;01;2022;2354636.62
021100 Åsvang skole;01;2022;3498979.17
021110 Markaplassen skole;01;2022;4042267.87
021120 Jakobsli skole;01;2022;1689224.78
031010 Bratsberg skole;01;2022;873860.97
031020 Hoeggen skole;01;2022;3913038.22
031030 Nardo skole;01;2022;2395030.47
031040 Nidarvoll skole;01;2022;3380471.61
031050 Steindal skole;01;2022;2408458.22
031060 Sunnland skole;01;2022;2697188.98
031070 Utleira skole;01;2022;2767224.42
041010 Byåsen skole;01;2022;4007478.7
041020 Dalgård skole og ressurssenter;01;2022;8055529.27
041030 Hallset skole;01;2022;3709157.95
041040 Ila skole;01;2022;4299492.83
041050 Selsbakk skole;01;2022;2407662.19
041060 Stavset skole;01;2022;2527028.37
041070 Sverresborg skole;01;2022;3854027.39
041080 Ugla skole;01;2022;3370817.23
041090 Åsveien skole og ressurssenter;01;2022;6265917.54
041100 Nyborg skole;01;2022;1749988
051010 Flatåsen skole;01;2022;6310767.32
051030 Huseby ungdomsskole;01;2022;2596302.59
051050 Romolslia skole;01;2022;1497052.91
051070 Huseby barneskole - AC Møller tegnspråksenter;01;2022;6155500.14
051072 Huseby barneskole - AC Møller tegnspråksenter, ACM;01;2022;1310405.9
061010 Breidablikk skole;01;2022;2959738.03
061030 Hårstad skole;01;2022;2579736.98
061040 Kattem skole;01;2022;3720634.39
061050 Nypvang skole;01;2022;1468728.22
061060 Okstad skole;01;2022;1593151.22
061070 Rosten skole;01;2022;2883258.34
061080 Rye skole;01;2022;976219.34
061090 Sjetne skole;01;2022;3355820.88
061100 Spongdal skole;01;2022;2400302.84
061110 Stabbursmoen skole;01;2022;2372569.12
061120 Tonstad skole;01;2022;5107179.48
061130 Åsheim barneskole;01;2022;2646245.8
061140 Åsheim ungdomsskole;01;2022;3048331.98
061150 Klæbu ungdomsskole;01;2022;2231022.54
061160 Sørborgen skole;01;2022;2608996.62
061170 Tanem skole;01;2022;1492924.66
580000 Trondheim kulturskole;01;2022;9796581.62
011010 Bispehaugen skole;02;2022;2272432.2
011040 Lade skole;02;2022;3674782.5
011050 Lilleby skole;02;2022;1816139.48
011060 Rosenborg skole;02;2022;4507935.3
011070 Singsaker skole;02;2022;2149419.05
011090 Strindheim skole;02;2022;3880302.49
021010 Berg skole;02;2022;1487234.2
021020 Blussuvoll skole;02;2022;3209710.06
021030 Brundalen skole;02;2022;2572360.66
021040 Charlottenlund barneskole;02;2022;3244012.63
021050 Charlottenlund ungdomsskole;02;2022;4076387.42
021060 Eberg skole;02;2022;2296596.69
021070 Ranheim skole;02;2022;3165837.65
021080 Solbakken skole;02;2022;932421.58
021090 Vikåsen skole;02;2022;1937585.15
021100 Åsvang skole;02;2022;3178843.94
021110 Markaplassen skole;02;2022;3552972.51
021120 Jakobsli skole;02;2022;1373365.05
031010 Bratsberg skole;02;2022;752494.52
031020 Hoeggen skole;02;2022;3002662.54
031030 Nardo skole;02;2022;2185977.05
031040 Nidarvoll skole;02;2022;2876248.5
031050 Steindal skole;02;2022;2099749.63
031060 Sunnland skole;02;2022;2565639.08
031070 Utleira skole;02;2022;2687880.58
041010 Byåsen skole;02;2022;3426620.4
041020 Dalgård skole og ressurssenter;02;2022;7227343.12
041030 Hallset skole;02;2022;3349666.7
041040 Ila skole;02;2022;3536396.35
041050 Selsbakk skole;02;2022;2195406.62
041060 Stavset skole;02;2022;2056281.33
041070 Sverresborg skole;02;2022;3322801.54
041080 Ugla skole;02;2022;2898191.81
041090 Åsveien skole og ressurssenter;02;2022;6102394.15
041100 Nyborg skole;02;2022;1530545.22
051010 Flatåsen skole;02;2022;5161604.58
051030 Huseby ungdomsskole;02;2022;2728760.98
051050 Romolslia skole;02;2022;1419097.57
051070 Huseby barneskole - AC Møller tegnspråksenter;02;2022;5670274.95
051072 Huseby barneskole - AC Møller tegnspråksenter, ACM;02;2022;1139503.18
061010 Breidablikk skole;02;2022;2810881.79
061030 Hårstad skole;02;2022;2325329.66
061040 Kattem skole;02;2022;3080380.57
061050 Nypvang skole;02;2022;1193142.01
061060 Okstad skole;02;2022;1346387.92
061070 Rosten skole;02;2022;2604892.57
061080 Rye skole;02;2022;710190.79
061090 Sjetne skole;02;2022;2821934.19
061100 Spongdal skole;02;2022;2171793.42
061110 Stabbursmoen skole;02;2022;2217263.08
061120 Tonstad skole;02;2022;4455248.39
061130 Åsheim barneskole;02;2022;2141383.2
061140 Åsheim ungdomsskole;02;2022;2895966.01
061150 Klæbu ungdomsskole;02;2022;2201240.57
061160 Sørborgen skole;02;2022;2370915.41
061170 Tanem skole;02;2022;1196718.34
