Enhet;Måned;År;Regnskap
E011010 - Bispehaugen skole;1;2021;2 240 520
E011010 - Bispehaugen skole;2;2021;1 932 110
E011010 - Bispehaugen skole;3;2021;2 262 200
E011010 - Bispehaugen skole;4;2021;2 302 860
E011010 - Bispehaugen skole;5;2021;2 269 930
E011010 - Bispehaugen skole;6;2021;-693 950
E011010 - Bispehaugen skole;7;2021;2 007 800
E011010 - Bispehaugen skole;8;2021;2 508 580
E011010 - Bispehaugen skole;9;2021;2 400 140
E011010 - Bispehaugen skole;10;2021;2 536 590
E011010 - Bispehaugen skole;11;2021;2 816 690
E011010 - Bispehaugen skole;12;2021;2 304 870
E011040 - Lade skole;1;2021;4 428 680
E011040 - Lade skole;2;2021;4 140 370
E011040 - Lade skole;3;2021;3 962 970
E011040 - Lade skole;4;2021;4 310 340
E011040 - Lade skole;5;2021;3 677 170
E011040 - Lade skole;6;2021;-688 760
E011040 - Lade skole;7;2021;3 841 520
E011040 - Lade skole;8;2021;3 990 640
E011040 - Lade skole;9;2021;4 501 040
E011040 - Lade skole;10;2021;4 911 610
E011040 - Lade skole;11;2021;3 756 260
E011040 - Lade skole;12;2021;1 608 150
E011050 - Lilleby skole;1;2021;1 769 170
E011050 - Lilleby skole;2;2021;1 964 640
E011050 - Lilleby skole;3;2021;1 863 910
E011050 - Lilleby skole;4;2021;2 041 820
E011050 - Lilleby skole;5;2021;1 945 460
E011050 - Lilleby skole;6;2021;-241 730
E011050 - Lilleby skole;7;2021;1 743 190
E011050 - Lilleby skole;8;2021;2 214 510
E011050 - Lilleby skole;9;2021;1 532 810
E011050 - Lilleby skole;10;2021;2 059 690
E011050 - Lilleby skole;11;2021;1 697 680
E011050 - Lilleby skole;12;2021;1 198 660
E011060 - Rosenborg skole;1;2021;4 471 810
E011060 - Rosenborg skole;2;2021;4 624 700
E011060 - Rosenborg skole;3;2021;4 820 850
E011060 - Rosenborg skole;4;2021;4 502 150
E011060 - Rosenborg skole;5;2021;4 274 790
E011060 - Rosenborg skole;6;2021;-1 071 520
E011060 - Rosenborg skole;7;2021;3 870 040
E011060 - Rosenborg skole;8;2021;4 570 800
E011060 - Rosenborg skole;9;2021;4 189 340
E011060 - Rosenborg skole;10;2021;5 317 330
E011060 - Rosenborg skole;11;2021;4 226 790
E011060 - Rosenborg skole;12;2021;4 682 700
E011070 - Singsaker skole;1;2021;2 339 410
E011070 - Singsaker skole;2;2021;2 463 290
E011070 - Singsaker skole;3;2021;2 504 340
E011070 - Singsaker skole;4;2021;2 499 320
E011070 - Singsaker skole;5;2021;1 987 040
E011070 - Singsaker skole;6;2021;-1 123 550
E011070 - Singsaker skole;7;2021;2 557 750
E011070 - Singsaker skole;8;2021;2 608 580
E011070 - Singsaker skole;9;2021;2 743 100
E011070 - Singsaker skole;10;2021;2 841 210
E011070 - Singsaker skole;11;2021;2 385 190
E011070 - Singsaker skole;12;2021;2 469 100
E011090 - Strindheim skole;1;2021;4 483 580
E011090 - Strindheim skole;2;2021;4 643 610
E011090 - Strindheim skole;3;2021;4 256 680
E011090 - Strindheim skole;4;2021;4 810 890
E011090 - Strindheim skole;5;2021;3 994 980
E011090 - Strindheim skole;6;2021;-1 541 750
E011090 - Strindheim skole;7;2021;4 838 570
E011090 - Strindheim skole;8;2021;4 489 820
E011090 - Strindheim skole;9;2021;4 545 440
E011090 - Strindheim skole;10;2021;4 719 910
E011090 - Strindheim skole;11;2021;4 530 110
E011090 - Strindheim skole;12;2021;2 697 090
E011840 - Skolen St. Olavs Hospital;1;2021;618 280
E011840 - Skolen St. Olavs Hospital;2;2021;600 610
E011840 - Skolen St. Olavs Hospital;3;2021;638 830
E011840 - Skolen St. Olavs Hospital;4;2021;622 600
E011840 - Skolen St. Olavs Hospital;5;2021;609 120
E011840 - Skolen St. Olavs Hospital;6;2021;-4 410 840
E011840 - Skolen St. Olavs Hospital;7;2021;597 110
E011840 - Skolen St. Olavs Hospital;8;2021;672 200
E011840 - Skolen St. Olavs Hospital;9;2021;-100 700
E011840 - Skolen St. Olavs Hospital;10;2021;606 910
E011840 - Skolen St. Olavs Hospital;11;2021;-2 082 750
E011840 - Skolen St. Olavs Hospital;12;2021;1 760 630
E021010 - Berg skole;1;2021;1 921 510
E021010 - Berg skole;2;2021;1 895 330
E021010 - Berg skole;3;2021;1 694 410
E021010 - Berg skole;4;2021;1 948 840
E021010 - Berg skole;5;2021;1 686 570
E021010 - Berg skole;6;2021;-813 960
E021010 - Berg skole;7;2021;1 774 220
E021010 - Berg skole;8;2021;1 898 120
E021010 - Berg skole;9;2021;1 912 810
E021010 - Berg skole;10;2021;1 820 130
E021010 - Berg skole;11;2021;1 731 830
E021010 - Berg skole;12;2021;1 556 310
E021020 - Blussuvoll skole;1;2021;3 301 610
E021020 - Blussuvoll skole;2;2021;3 475 430
E021020 - Blussuvoll skole;3;2021;3 342 660
E021020 - Blussuvoll skole;4;2021;3 533 640
E021020 - Blussuvoll skole;5;2021;3 299 760
E021020 - Blussuvoll skole;6;2021;-792 240
E021020 - Blussuvoll skole;7;2021;2 771 870
E021020 - Blussuvoll skole;8;2021;3 852 400
E021020 - Blussuvoll skole;9;2021;3 810 120
E021020 - Blussuvoll skole;10;2021;4 036 740
E021020 - Blussuvoll skole;11;2021;3 899 920
