Ansvar;Skole navn;Skole kode
011010;Bispehaugen;E011010
011040;Lade;E011040
011050;Lilleby;E011050
011060;Rosenborg;E011060
011070;Singsaker;E011070
011090;Strindheim;E011090
021010;Berg;E021010
021020;Blussuvoll;E021020
021030;Brundalen;E021030
021040;Charlottenlund b;E021040
021050;Charlottenlund u;E021050
021060;Eberg;E021060
021070;Ranheim;E021070
021080;Solbakken;E021080
021090;Vikåsen;E021090
021100;Åsvang;E021100
021110;Markaplassen;E021110
021120;Jakobsli;E021120
031010;Bratsberg;E031010
031020;Hoeggen;E031020
031030;Nardo;E031030
031040;Nidarvoll;E031040
031050;Steindal;E031050
031060;Sunnland;E031060
031070;Utleira;E031070
041010;Byåsen;E041010
041020;Dalgård;E041020
041030;Hallset;E041030
041040;Ila;E041040
041050;Selsbakk;E041050
041060;Stavset;E041060
041070;Sverresborg;E041070
041080;Ugla;E041080
041090;Åsveien;E041090
041100;Nyborg;E041100
051010;Flatåsen;E051010
051030;Huseby;E051030
051040;Kolstad;E051040
051050;Romolslia;E051050
051070;Huseby barneskole;E051070
061010;Breidablikk;E061010
061030;Hårstad;E061030
061040;Kattem;E061040
061050;Nypvang;E061050
061060;Okstad;E061060
061070;Rosten;E061070
061080;Rye;E061080
061090;Sjetne;E061090
061100;Spongdal;E061100
061110;Stabbursmoen;E061110
061120;Tonstad;E061120
061130;Åsheim b;E061130
061140;Åsheim u;E061140
061150;Klæbu u;E061150
061160;Sørborgen skole;E061160
061170;Tanem skole;E061170
580000;Trondheim kulturskole;E580000
051072;Huseby Barneskole - AC Møller;E051072
