Dato;Ansvar;Beløp;Oppdatert
01.01.2020;011010;23952000;31.01.2020
01.01.2020;011040;41011000;31.01.2020
01.01.2020;011050;17795000;31.01.2020
01.01.2020;011060;46202000;31.01.2020
01.01.2020;011070;27212000;31.01.2020
01.01.2020;011090;46455000;31.01.2020
01.01.2020;021010;19809000;31.01.2020
01.01.2020;021020;37675000;31.01.2020
01.01.2020;021030;31125000;31.01.2020
01.01.2020;021040;42241000;31.01.2020
01.01.2020;021050;38920000;31.01.2020
01.01.2020;021060;26648000;31.01.2020
01.01.2020;021070;36269000;31.01.2020
01.01.2020;021080;10689000;31.01.2020
01.01.2020;021090;23602000;31.01.2020
01.01.2020;021100;32195000;31.01.2020
01.01.2020;021110;35505000;31.01.2020
01.01.2020;021120;16247000;31.01.2020
01.01.2020;031010;8379000;31.01.2020
01.01.2020;031020;31927000;31.01.2020
01.01.2020;031030;26329000;31.01.2020
01.01.2020;031040;29252000;31.01.2020
01.01.2020;031050;26367000;31.01.2020
01.01.2020;031060;25134000;31.01.2020
01.01.2020;031070;31726000;31.01.2020
01.01.2020;041010;41457000;31.01.2020
01.01.2020;041020;80859000;31.01.2020
01.01.2020;041030;31931000;31.01.2020
01.01.2020;041040;45109000;31.01.2020
01.01.2020;041050;24918000;31.01.2020
01.01.2020;041060;22548000;31.01.2020
01.01.2020;041070;36079000;31.01.2020
01.01.2020;041080;32550000;31.01.2020
01.01.2020;041090;63240000;31.01.2020
01.01.2020;041100;18986000;31.01.2020
01.01.2020;051010;60901000;31.01.2020
01.01.2020;051030;23164000;31.01.2020
01.01.2020;051050;14413000;31.01.2020
01.01.2020;051070;49716000;31.01.2020
01.01.2020;061010;27725000;31.01.2020
01.01.2020;061030;24679000;31.01.2020
01.01.2020;061040;37958000;31.01.2020
01.01.2020;061050;15953000;31.01.2020
01.01.2020;061060;12395000;31.01.2020
01.01.2020;061070;28895000;31.01.2020
01.01.2020;061080;10098000;31.01.2020
01.01.2020;061090;35013000;31.01.2020
01.01.2020;061100;24040000;31.01.2020
01.01.2020;061110;32948000;31.01.2020
01.01.2020;061120;48760000;31.01.2020
01.01.2020;061130;28817000;31.01.2020
01.01.2020;061140;30286000;31.01.2020
01.01.2020;061150;25491000;31.01.2020
01.01.2020;061160;30264000;31.01.2020
01.01.2020;061170;17016000;31.01.2020
01.01.2020;580000;56493000;31.01.2020
01.01.2019;011010;24847000;24.01.2019
01.01.2019;011040;38743000;24.01.2019
01.01.2019;011050;18029000;24.01.2019
01.01.2019;011060;43015000;24.01.2019
01.01.2019;011070;27901000;24.01.2019
01.01.2019;011090;46004000;24.01.2019
01.01.2019;021010;19531000;24.01.2019
01.01.2019;021020;35153000;24.01.2019
01.01.2019;021030;30429000;24.01.2019
01.01.2019;021040;40936000;24.01.2019
01.01.2019;021050;39004000;24.01.2019
01.01.2019;021060;23893000;24.01.2019
01.01.2019;021070;36372000;24.01.2019
01.01.2019;021080;9178000;24.01.2019
01.01.2019;021090;22810000;24.01.2019
01.01.2019;021100;30892000;24.01.2019
01.01.2019;021110;34089000;24.01.2019
01.01.2019;021120;14727000;24.01.2019
01.01.2019;031010;8407000;24.01.2019
01.01.2019;031020;29404000;24.01.2019
01.01.2019;031030;26356000;24.01.2019
01.01.2019;031040;28600000;24.01.2019
01.01.2019;031050;25929000;24.01.2019
01.01.2019;031060;22508000;24.01.2019
01.01.2019;031070;30992000;24.01.2019
01.01.2019;041010;40881000;24.01.2019
01.01.2019;041020;72209000;24.01.2019
01.01.2019;041030;30673000;24.01.2019
01.01.2019;041040;41209000;24.01.2019
01.01.2019;041050;23478000;24.01.2019
01.01.2019;041060;23937000;24.01.2019
01.01.2019;041070;35572000;24.01.2019
01.01.2019;041080;32337000;24.01.2019
01.01.2019;041090;66606000;24.01.2019
01.01.2019;041100;18167000;24.01.2019
01.01.2019;051010;58978000;24.01.2019
01.01.2019;051030;24317000;24.01.2019
01.01.2019;051050;12851000;24.01.2019
01.01.2019;051070;55767000;24.01.2019
01.01.2019;051072;6102000;24.01.2019
01.01.2019;061010;28007000;24.01.2019
01.01.2019;061030;23864000;24.01.2019
01.01.2019;061040;35019000;24.01.2019
01.01.2019;061050;15503000;24.01.2019
01.01.2019;061060;9910000;24.01.2019
01.01.2019;061070;27956000;24.01.2019
01.01.2019;061080;9072000;24.01.2019
01.01.2019;061090;34109000;24.01.2019
01.01.2019;061100;25210000;24.01.2019
01.01.2019;061110;30773000;24.01.2019
01.01.2019;061120;50363000;24.01.2019
01.01.2019;061130;29090000;24.01.2019
01.01.2019;061140;28820000;24.01.2019
01.01.2019;580000;54192000;24.01.2019
01.01.2021;011010;23852532;04.02.2021
01.01.2021;011040;43260468;04.02.2021
01.01.2021;011050;19404599;04.02.2021
01.01.2021;011060;46946998;04.02.2021
01.01.2021;011070;26917981;04.02.2021
01.01.2021;011090;46335750;04.02.2021
01.01.2021;021010;19516457;04.02.2021
01.01.2021;021020;37152689;04.02.2021
01.01.2021;021030;30028982;04.02.2021
01.01.2021;021040;40623095;04.02.2021
01.01.2021;021050;42237089;04.02.2021
01.01.2021;021060;27087359;04.02.2021
01.01.2021;021070;36351722;04.02.2021
01.01.2021;021080;10433729;04.02.2021
01.01.2021;021090;24821086;04.02.2021
01.01.2021;021100;35894888;04.02.2021
01.01.2021;021110;35868952;04.02.2021
01.01.2021;021120;14924372;04.02.2021
01.01.2021;031010;8798148;04.02.2021
01.01.2021;031020;31236922;04.02.2021
01.01.2021;031030;25928517;04.02.2021
01.01.2021;031040;30476000;04.02.2021
01.01.2021;031050;25959041;04.02.2021
01.01.2021;031060;27012151;04.02.2021
01.01.2021;031070;32465700;04.02.2021
01.01.2021;041010;40219731;04.02.2021
01.01.2021;041020;81085052;04.02.2021
01.01.2021;041030;31126725;04.02.2021
01.01.2021;041040;42202777;04.02.2021
01.01.2021;041050;24715906;04.02.2021
01.01.2021;041060;22532196;04.02.2021
01.01.2021;041070;37331768;04.02.2021
01.01.2021;041080;34923237;04.02.2021
01.01.2021;041090;62879475;04.02.2021
01.01.2021;041100;19185399;04.02.2021
01.01.2021;051010;60215877;04.02.2021
01.01.2021;051030;23735938;04.02.2021
01.01.2021;051050;15503727;04.02.2021
01.01.2021;051070;55820569;04.02.2021
01.01.2021;051072;13811000;04.02.2021
