Versjon;Ansvar;Beløp;Oppdatert
2021PVBD01;011010;23852532;04.02.2021
2021PVBD01;011040;43260468;04.02.2021
2021PVBD01;011050;19404599;04.02.2021
2021PVBD01;011060;46946998;04.02.2021
2021PVBD01;011070;26917981;04.02.2021
2021PVBD01;011090;46335750;04.02.2021
2021PVBD01;021010;19516457;04.02.2021
2021PVBD01;021020;37152689;04.02.2021
2021PVBD01;021030;30028982;04.02.2021
2021PVBD01;021040;40623095;04.02.2021
2021PVBD01;021050;42237089;04.02.2021
2021PVBD01;021060;27087359;04.02.2021
2021PVBD01;021070;36351722;04.02.2021
2021PVBD01;021080;10433729;04.02.2021
2021PVBD01;021090;24821086;04.02.2021
2021PVBD01;021100;35894888;04.02.2021
2021PVBD01;021110;35868952;04.02.2021
2021PVBD01;021120;14924372;04.02.2021
2021PVBD01;031010;8798148;04.02.2021
2021PVBD01;031020;31236922;04.02.2021
2021PVBD01;031030;25928517;04.02.2021
2021PVBD01;031040;30476000;04.02.2021
2021PVBD01;031050;25959041;04.02.2021
2021PVBD01;031060;27012151;04.02.2021
2021PVBD01;031070;32465700;04.02.2021
2021PVBD01;041010;40219731;04.02.2021
2021PVBD01;041020;81085052;04.02.2021
2021PVBD01;041030;31126725;04.02.2021
2021PVBD01;041040;42202777;04.02.2021
2021PVBD01;041050;24715906;04.02.2021
2021PVBD01;041060;22532196;04.02.2021
2021PVBD01;041070;37331768;04.02.2021
2021PVBD01;041080;34923237;04.02.2021
2021PVBD01;041090;62879475;04.02.2021
2021PVBD01;041100;19185399;04.02.2021
2021PVBD01;051010;60215877;04.02.2021
2021PVBD01;051030;23735938;04.02.2021
2021PVBD01;051050;15503727;04.02.2021
2021PVBD01;051070;55820569;04.02.2021
2021PVBD01;051072;13811000;04.02.2021
2021PVBD01;061010;28447550;04.02.2021
2021PVBD01;061030;25915931;04.02.2021
2021PVBD01;061040;36824977;04.02.2021
2021PVBD01;061050;15199291;04.02.2021
2021PVBD01;061060;13327903;04.02.2021
2021PVBD01;061070;29469040;04.02.2021
2021PVBD01;061080;9995008;04.02.2021
2021PVBD01;061090;37040099;04.02.2021
2021PVBD01;061100;23402724;04.02.2021
2021PVBD01;061110;29446635;04.02.2021
2021PVBD01;061120;53904831;04.02.2021
2021PVBD01;061130;27648956;04.02.2021
2021PVBD01;061140;30873412;04.02.2021
2021PVBD01;061150;23290887;04.02.2021
2021PVBD01;061160;27610955;04.02.2021
2021PVBD01;061170;16652977;04.02.2021
2021PVBD01;580000;64333500;04.02.2021
