Versjon;Ansvar;Beløp;Oppdatert;;;;;;;;;;;;;;;
2021PVBEND;021110;0;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;061040;638408;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;580000;0;3/25/2021;;;;;;;;;;;;;;;
2021PVBEND;061170;80212;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;041040;1162000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;031020;85000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061040;-109000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;031020;46000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;061170;-10000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;580000;156000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061070;76000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061080;14000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;021110;-323000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;061070;18000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;061090;-10000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;061150;-609000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;061120;-26000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;041060;-58000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;021050;-620546;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;041070;592000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021010;112000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;061080;122000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;011070;538000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041090;112000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;021020;132000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;021090;-213000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041020;388370;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;021100;112000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061130;890599;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;011060;89000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;021120;88000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;031050;243395;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;041050;55000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;021040;431464;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;061050;129099;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;021030;76000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021010;-413000;5/26/2021;;;;;;;;;;;;;;;
2021PVBEND;051010;-479215;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;021070;164000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;061100;-156935;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;041080;-339000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;041100;54000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061060;32000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;021060;111000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;051070;647000;11/8/2021;;;;;;;;;;;;;;;
